,video_id,video_title,upload_date,view_count,like_count,comment_count,duration
0,KKH08BnAUBY,El Metodo Rebord #47 - Máximo Kirchner,2022-11-13,357818,11770,1468,03:44:41
1,FMO13F3Btd0,El Metodo Rebord #46 - Emmanuel Alvarez Agis,2022-11-06,264181,6447,858,02:31:29
2,Wevw4zbhScM,El Metodo Rebord #45 - El Bananero,2022-10-23,670968,27213,1598,01:43:17
3,yWlSbdnh6LA,Conclave #3 - Luquitas Rodriguez y Guille Aquino,2022-10-17,681154,16577,1053,02:55:56
4,FStaQVTWz2w,El Metodo Rebord #44 - Osvaldo Carnival,2022-10-09,58515,1539,373,02:03:01
5,ICbnfgarTNQ,El Metodo Rebord #43 - Mariana Enríquez,2022-10-02,289160,8239,625,02:37:08
6,cuykltGqOP4,El Metodo Rebord #42 - Cristian Ritondo,2022-09-25,75551,1654,617,01:35:01
7,hQvveEsbSJE,Conclave #2 - Santi Maratea y Ofelia Fernández,2022-09-19,208020,5819,1178,02:25:56
8,-tD9dcvm9LQ,Conclave #1 - Carlos Maslaton e Iván Schargrodsky,2022-09-12,386910,11261,1050,02:35:16
9,j8i2dJ_fuJE,El Metodo Rebord #41 - Emmanuel Horvilleur,2022-08-28,107742,2807,373,02:04:07
10,zEyv08P7D9E,El Metodo Rebord #40 - Sergio Berni,2022-08-21,176802,4668,843,01:30:21
11,jGs9jwx3u_M,El Metodo Rebord #39 - Paulina Cocina,2022-08-14,208409,6456,513,01:57:41
12,cUxQQU45cQ4,El Metodo Rebord #38 - Jorge 'El Turco' Asis,2022-08-07,178656,5290,739,01:36:57
13,ZhqKsIDmVrs,El Metodo Rebord #37 - Fernando Vaca Narvaja,2022-07-31,298390,6695,1736,03:14:39
14,BGCQ2Q4Q0w4,El Metodo Rebord #36 - Santi Maratea,2022-07-24,259797,6784,1272,02:52:19
15,DW3fnTN2zy4,El Metodo Rebord #35 - Carlos Pagni,2022-07-17,216848,7559,1197,01:13:58
16,h9YiNRCmDBY,El Metodo Rebord #34 - Jorge Capitanich,2022-07-10,92452,3022,766,01:23:59
17,xBh9Rr6QHmI,El Metodo Rebord #33 - Jorge Altamira,2022-07-03,158538,4094,1007,02:15:07
18,PbOTsaLBlfE,El Metodo Rebord #32 - Juan Grabois,2022-06-26,259683,9971,1238,02:02:22
19,CMhabU13GFE,El Metodo Rebord #31- Felipe Pigna,2022-06-19,415086,11069,926,02:43:12
20,4I37WuzVI3w,El Metodo Rebord #30 - Maria O'Donnell,2022-06-12,131876,3904,572,01:59:45
21,VgKcXLuhuj0,El Metodo Rebord #29 - Guillermo Moreno,2022-06-05,312162,11834,2299,01:27:19
22,KcipL7fIBUU,El Metodo Rebord #28 - Fernando 'Pato' Galmarini,2022-05-29,105754,3635,347,01:54:27
23,wioqxlmXg8E,El Metodo Rebord #27 - Franco Rinaldi,2022-05-22,175241,6605,1092,02:03:48
24,1gaC5scO8E4,El Metodo Rebord #26 - Julia Mengolini,2022-05-15,181608,6412,767,02:29:39
25,ywVT9CPNGPI,El Metodo Rebord #25 - Juariu (Vicky Braier),2022-05-01,64146,1776,215,01:43:38
26,OSeKhOS8ryg,El Metodo Rebord #24 - Dillom,2022-04-24,129572,6529,462,01:46:33
27,6ogXEIrh4uo,El Metodo Rebord #23 - Sergio Chodos,2022-04-17,110430,3191,439,02:14:25
28,4OD-ZgrWedE,El Metodo Rebord #22 -  Cumbio (Agustina Vivero),2022-04-10,110297,4851,448,01:07:13
29,zm49034Y7Zc,El Metodo Rebord #21 - Mario Pergolini,2022-04-03,541936,16544,1524,01:27:37
30,OKbqQ5OQNXE,El Metodo Rebord #20 - Carlos Corach,2021-12-12,183309,3806,959,02:00:00
31,F0mS8jzzVkE,El Metodo Rebord #19 - Gustavo Grobocopatel,2021-12-05,114170,3357,880,01:29:00
32,P3viompdb5Y,El Metodo Rebord #18 - Marcela Feudale,2021-11-28,112418,4222,557,02:23:38
33,og12qCy5zcY,El Metodo Rebord #17 - Iván Schargrodsky,2021-11-21,268901,5719,638,02:52:39
34,6b-kKh2ldXg,El Metodo Rebord #16 - Damián Kuc,2021-11-14,147276,5640,647,01:50:11
35,Y1YuKsS9vYA,El Metodo Rebord #15 - Leandro Santoro,2021-11-07,92258,3640,1154,01:16:51
36,ViVQJN5IfK8,El Metodo Rebord #14 - Diego Lagomarsino,2021-10-31,223214,6732,752,01:43:01
37,Bjx4rBuDOL4,El Metodo Rebord #13 - Adrián Lakerman,2021-10-24,76840,2650,262,02:04:06
38,rskswNE_qVc,El Metodo Rebord #12 - Matías Kulfas,2021-10-16,71475,2412,296,01:39:53
39,oJoD0VI4Fiw,El Metodo Rebord #11 - Juan Cruz Komar,2021-10-08,82152,3855,439,01:53:09
40,AbNyHhxq5ZU,El Metodo Rebord #10 - Nati Jota,2021-10-03,103216,2963,408,02:34:51
41,DEtMSDpn1ws,El Metodo Rebord #9 - Mayra Arena,2021-09-26,127869,4620,522,02:10:42
42,WGWnSL1rFoY,El Metodo Rebord #8 - Fede Simonetti,2021-09-19,107923,5139,482,01:41:48
43,yeYrHc5oOsU,El Metodo Rebord #7 - Carlos Maslaton,2021-09-11,440931,12999,1325,01:52:45
44,pOvpca1-VqM,El Metodo Rebord #6 - Georgina Orellano,2021-09-05,81435,4034,445,02:18:24
45,n8CNI_zB4Rg,El Metodo Rebord #5 - Guille Aquino,2021-08-29,641791,15781,1086,02:19:16
46,lSj8bvpvaIg,El Metodo Rebord #4 - Ofelia Fernández,2021-08-22,270441,6260,527,03:02:27
47,GSNg9OX2Y5s,El Metodo Rebord #3 - Noelia Custodio,2021-08-15,250334,7063,611,01:49:34
48,OQ9ZTV1m41M,El Metodo Rebord #2 - Pedro Rosemblat,2021-08-08,297899,8040,578,02:28:22
49,iLRHAtGXWSA,El Metodo Rebord #1 - Luquitas Rodríguez,2021-08-01,189727,5943,251,01:16:52
